🚀 开始处理...

🤖 模式: 使用视频+现有字幕（Whisper词级+LLM）
📖 读取现有字幕: EverythingyouthinkyouknowaboutaddictioniswrongJoha_word_based.srt
{"text": "Why do we carry on", "word_count": 5},
{"text": "with this approach that doesn't", "word_count": 5},
{"text": "seem to be working?", "word_count": 5},
{"text": "And is there a better", "word_count": 5},
{"text": "way out there that we", "word_count": 5},
{"text": "could try instead?", "word_count": 4},
{"text": "So I read loads of", "word_count": 5},
{"text": "stuff about it, and I", "word_count": 5},
{"text": "couldn't really find the answers", "word_count": 5},
{"text": "I was looking for.", "word_count": 5},
{"text": "So I thought, OK, I'll", "word_count": 5},
{"text": "go and sit with different", "word_count": 5},
{"text": "people around the world who've", "word_count": 5},
{"text": "lived this and studied this,", "word_count": 5},
{"text": "and talk to them and", "word_count": 5},
{"text": "see if I can learn", "word_count": 5},
{"text": "from them.", "word_count": 2},
{"text": "And I ended up, I", "word_count": 5},
{"text": "didn't realize I would end", "word_count": 5},
{"text": "up going over 30,000 miles", "word_count": 5},
{"text": "at the start, but I", "word_count": 5},
{"text": "ended up going and meeting", "word_count": 5},
{"text": "loads of different people, from", "word_count": 5},
{"text": "a transgender crack dealer in", "word_count": 5},
{"text": "Brownsville, Brooklyn, to a", "word_count": 5},
{"text": "scientist who spends a lot", "word_count": 5},
{"text": "of time feeding hallucinogens to", "word_count": 5},
{"text": "mongooses to see if they", "word_count": 6},
{"text": "like them.", "word_count": 2},
{"text": "It turns out they do,", "word_count": 5},
{"text": "but only in very specific", "word_count": 5},
{"text": "circumstances.", "word_count": 1},
{"text": "To the only country that's", "word_count": 5},
{"text": "ever decriminalized all drugs,", "word_count": 4},
{"text": "from cannabis to crack, Portugal.", "word_count": 5},
{"text": "And the thing I realized", "word_count": 5},
{"text": "that really blew my mind", "word_count": 5},
{"text": "is, almost everything we think", "word_count": 5},
{"text": "we know about addiction is", "word_count": 5},
{"text": "wrong.", "word_count": 1},
{"text": "And if we start to", "word_count": 5},
{"text": "absorb the new evidence about", "word_count": 5},
{"text": "addiction, I think we're going", "word_count": 5},
{"text": "to have to change a", "word_count": 5},
{"text": "lot more than our drug", "word_count": 5},
{"text": "policies.", "word_count": 1},
{"text": "But let's start with what", "word_count": 5},
{"text": "we think we know, what", "word_count": 5},
{"text": "I thought I know, right?", "word_count": 6},
{"text": "Let's think about this middle", "word_count": 5},
{"text": "row here, right?", "word_count": 4},
{"text": "Imagine all of you, for", "word_count": 5},
{"text": "20 days now, went off", "word_count": 5},
{"text": "and used heroin three times", "word_count": 5},
{"text": "a day.", "word_count": 2},
{"text": "Some of you look a", "word_count": 5},
{"text": "little bit more enthusiastic than", "word_count": 5},
{"text": "others at this prospect.", "word_count": 4},
{"text": "Don't worry, it's just a", "word_count": 5},
{"text": "thought experiment.", "word_count": 2},
{"text": "Imagine you did that, right?", "word_count": 5},
{"text": "What would happen?", "word_count": 3},
{"text": "Now, we have a story", "word_count": 5},
{"text": "about what would happen that", "word_count": 5},
{"text": "we've been told for a", "word_count": 5},
{"text": "century.", "word_count": 1},
{"text": "We think, because there are", "word_count": 5},
{"text": "chemical hooks in heroin, as", "word_count": 5},
{"text": "you took it for a", "word_count": 5},
{"text": "while, your body would become", "word_count": 5},
{"text": "dependent on those hooks, you'd", "word_count": 5},
{"text": "start to physically need them,", "word_count": 5},
{"text": "and at the end of", "word_count": 5},
{"text": "those 20 days, you'd all", "word_count": 5},
{"text": "be heroin addicts, right?", "word_count": 5},
{"text": "That's what I thought.", "word_count": 4},
{"text": "First thing that alerted me", "word_count": 5},
{"text": "to the fact there's something", "word_count": 5},
{"text": "not right with this story", "word_count": 5},
{"text": "is when it was explained", "word_count": 5},
{"text": "to me, if I step", "word_count": 5},
{"text": "out of this TED Talk", "word_count": 5},
{"text": "today and I get hit", "word_count": 5},
{"text": "by a car and I", "word_count": 5},
{"text": "break my hip, I'll be", "word_count": 5},
{"text": "taken to hospital and I'll", "word_count": 5},
{"text": "be given loads of diamorphine.", "word_count": 5},
{"text": "Diamorphine is heroin.", "word_count": 2},
{"text": "It's actually much better heroin", "word_count": 5},
{"text": "than you're ever going to", "word_count": 5},
{"text": "buy on the streets,", "word_count": 4},
{"text": "because the stuff you buy", "word_count": 5},
{"text": "from a drug dealer is", "word_count": 5},
{"text": "contaminated, actually very little", "word_count": 4},
{"text": "of it is heroin, whereas", "word_count": 5},
{"text": "the stuff you get from", "word_count": 5},
{"text": "the doctor is medically pure.", "word_count": 5},
{"text": "And you'll be given it", "word_count": 5},
{"text": "for quite a long period", "word_count": 5},
{"text": "of time.", "word_count": 2},
{"text": "There are loads of people", "word_count": 5},
{"text": "in this room who may", "word_count": 5},
{"text": "not realize that you've taken", "word_count": 5},
{"text": "quite a lot of heroin,", "word_count": 5},
{"text": "right?", "word_count": 1},
{"text": "And anyone watching this anywhere", "word_count": 5},
{"text": "in the world, this is", "word_count": 5},
{"text": "happening.", "word_count": 1},
{"text": "And if what we believe", "word_count": 5},
{"text": "about addiction is right, those", "word_count": 5},
{"text": "people are exposed to all", "word_count": 5},
{"text": "those chemical hooks, what should", "word_count": 5},
{"text": "happen?", "word_count": 1},
{"text": "They should become addicts.", "word_count": 4},
{"text": "This has been studied really", "word_count": 4},
{"text": "carefully.", "word_count": 1},
{"text": "It doesn't happen.", "word_count": 3},
{"text": "You will have noticed if", "word_count": 5},
{"text": "your grandmother had a hip", "word_count": 5},
{"text": "replacement, she didn't come out", "word_count": 5},
{"text": "as a junkie.", "word_count": 4},
{"text": "And when I learned this,", "word_count": 5},
{"text": "it just seemed so weird", "word_count": 5},
{"text": "to me, so contrary to", "word_count": 5},
{"text": "everything I'd been told, everything", "word_count": 5},
{"text": "I thought I knew, I", "word_count": 5},
{"text": "just thought it couldn't be", "word_count": 5},
{"text": "right, until I went and", "word_count": 5},
{"text": "met a man called Bruce", "word_count": 5},
{"text": "Alexander, who's a professor of", "word_count": 5},
{"text": "psychology in Vancouver, who carried", "word_count": 5},
{"text": "out an incredible experiment that", "word_count": 5},
{"text": "I think really helps us", "word_count": 5},
{"text": "to understand this issue.", "word_count": 4},
{"text": "Professor Alexander explained to me,", "word_count": 5},
{"text": "the idea of addiction we've", "word_count": 5},
{"text": "all got in our heads,", "word_count": 5},
{"text": "that story, comes partly from", "word_count": 5},
{"text": "a series of experiments that", "word_count": 5},
{"text": "were done earlier in the", "word_count": 5},
{"text": "20th century.", "word_count": 2},
{"text": "They're really simple experiments.", "word_count": 3},
{"text": "You can do them tonight", "word_count": 5},
{"text": "when you go home, if", "word_count": 5},
{"text": "you feel a little bit", "word_count": 5},
{"text": "sadistic.", "word_count": 1},
{"text": "You get a rat and", "word_count": 5},
{"text": "you put it in a", "word_count": 5},
{"text": "cage, and you give it", "word_count": 5},
{"text": "two water bottles.", "word_count": 3},
{"text": "One is just water, and", "word_count": 5},
{"text": "the other is water laced", "word_count": 5},
{"text": "with either heroin or cocaine.", "word_count": 5},
{"text": "If you do that, the", "word_count": 5},
{"text": "rat will almost always prefer", "word_count": 5},
{"text": "the drugged water and almost", "word_count": 5},
{"text": "always kill itself quite quickly.", "word_count": 5},
{"text": "So there you go, right?", "word_count": 5},
{"text": "That's how we think it", "word_count": 5},
{"text": "works.", "word_count": 1},
{"text": "In the 70s, Professor Alexander", "word_count": 5},
{"text": "comes along and he looks", "word_count": 5},
{"text": "at this experiment and he", "word_count": 5},
{"text": "noticed something.", "word_count": 2},
{"text": "He said, ah, we're putting", "word_count": 5},
{"text": "the rat in an empty", "word_count": 5},
{"text": "cage.", "word_count": 1},
{"text": "It's got nothing to do", "word_count": 5},
{"text": "except use these drugs.", "word_count": 4},
{"text": "Let's try something a bit", "word_count": 5},
{"text": "different.", "word_count": 1},
{"text": "So Professor Alexander built a", "word_count": 5},
{"text": "cage that he called Rat", "word_count": 5},
{"text": "Park, which is basically heaven", "word_count": 5},
{"text": "for rats, right?", "word_count": 4},
{"text": "They've got loads of cheese,", "word_count": 5},
{"text": "they've got loads of colored", "word_count": 5},
{"text": "balls, they've got loads of", "word_count": 5},
{"text": "tunnels.", "word_count": 1},
{"text": "Crucially, they've got loads of", "word_count": 5},
{"text": "friends, they can have loads", "word_count": 5},
{"text": "of sex, and they've got", "word_count": 5},
{"text": "both the water bottles, the", "word_count": 5},
{"text": "normal water and the drugged", "word_count": 5},
{"text": "water.", "word_count": 1},
{"text": "But here's the fascinating thing.", "word_count": 5},
{"text": "In Rat Park, they don't", "word_count": 5},
{"text": "like the drugged water.", "word_count": 4},
{"text": "They almost never use it.", "word_count": 5},
{"text": "None of them ever use", "word_count": 5},
{"text": "it compulsively.", "word_count": 2},
{"text": "None of them ever overdose.", "word_count": 5},
{"text": "You go from almost 100", "word_count": 5},
{"text": "percent overdose when they're isolated", "word_count": 4},
{"text": "to zero percent overdose when", "word_count": 5},
{"text": "they have happy and connected", "word_count": 5},
{"text": "lives.", "word_count": 1},
{"text": "Now, when we first saw", "word_count": 5},
{"text": "this, Professor Alexander thought,", "word_count": 4},
{"text": "you know, maybe this is", "word_count": 5},
{"text": "just a thing about rats,", "word_count": 5},
{"text": "they're quite different to us,", "word_count": 5},
{"text": "maybe not as different as", "word_count": 5},
{"text": "we'd like, but you know.", "word_count": 5},
{"text": "But fortunately, there was a", "word_count": 5},
{"text": "human experiment into the exact", "word_count": 5},
{"text": "same principle happening at the", "word_count": 5},
{"text": "exact same time.", "word_count": 4},
{"text": "It was called the Vietnam", "word_count": 5},
{"text": "War.", "word_count": 1},
{"text": "In Vietnam, 20 percent of", "word_count": 5},
{"text": "all Americans, all American troops", "word_count": 5},
{"text": "were using loads of heroin.", "word_count": 5},
{"text": "And if you look at", "word_count": 5},
{"text": "the news reports from the", "word_count": 5},
{"text": "time, they were really worried,", "word_count": 5},
{"text": "because they thought, my God,", "word_count": 5},
{"text": "we're going to have hundreds", "word_count": 5},
{"text": "of thousands of junkies on", "word_count": 5},
{"text": "the streets of the United", "word_count": 5},
{"text": "States when the war ends.", "word_count": 6},
{"text": "It made total sense.", "word_count": 4},
{"text": "Now, those soldiers who were", "word_count": 5},
{"text": "using loads of heroin were", "word_count": 5},
{"text": "followed home.", "word_count": 2},
{"text": "The Archives of General Psychiatry", "word_count": 5},
{"text": "did a really detailed study,", "word_count": 5},
{"text": "and what happened to them?", "word_count": 5},
{"text": "It turns out they didn't", "word_count": 5},
{"text": "go to rehab.", "word_count": 3},
{"text": "They didn't go into withdrawal.", "word_count": 5},
{"text": "Ninety-five percent of them just", "word_count": 5},
{"text": "stopped.", "word_count": 1},
{"text": "Now, if you believe the", "word_count": 5},
{"text": "story, and if you think", "word_count": 5},
{"text": "there's a story about chemical", "word_count": 5},
{"text": "hooks, that makes absolutely no", "word_count": 5},
{"text": "sense.", "word_count": 1},
{"text": "But Professor Alexander began to", "word_count": 5},
{"text": "think there might be a", "word_count": 5},
{"text": "different story about addiction.", "word_count": 4},
{"text": "He said, what if addiction", "word_count": 5},
{"text": "isn't about your chemical hooks?", "word_count": 6},
{"text": "What if addiction is about", "word_count": 5},
{"text": "your cage?", "word_count": 3},
{"text": "What if addiction is an", "word_count": 5},
{"text": "adaptation to your environment?", "word_count": 4},
{"text": "Looking at this, there was", "word_count": 5},
{"text": "another professor called Peter Cohen", "word_count": 5},
{"text": "in the Netherlands, who said,", "word_count": 5},
{"text": "maybe we shouldn't even call", "word_count": 5},
{"text": "it addiction.", "word_count": 2},
{"text": "Maybe we should call it", "word_count": 5},
{"text": "bonding.", "word_count": 1},
{"text": "Human beings have a natural", "word_count": 5},
{"text": "and innate need to bond.", "word_count": 6},
{"text": "And when we're happy and", "word_count": 5},
{"text": "healthy, we'll bond and connect", "word_count": 5},
{"text": "with each other.", "word_count": 3},
{"text": "But if you can't do", "word_count": 5},
{"text": "that, because you're traumatized or", "word_count": 5},
{"text": "isolated or beaten down by", "word_count": 5},
{"text": "life, you will bond with", "word_count": 5},
{"text": "something that will give you", "word_count": 5},
{"text": "some sense of relief.", "word_count": 5},
{"text": "Now, that might be gambling,", "word_count": 5},
{"text": "that might be pornography, that", "word_count": 5},
{"text": "might be cocaine, that might", "word_count": 5},
{"text": "be cannabis, but you will", "word_count": 5},
{"text": "bond and connect with something,", "word_count": 5},
{"text": "because that's our nature.", "word_count": 4},
{"text": "That's what we want as", "word_count": 5},
{"text": "human beings.", "word_count": 2},
{"text": "And I think, at first", "word_count": 5},
{"text": "I found this quite a", "word_count": 5},
{"text": "difficult thing to get my", "word_count": 5},
{"text": "head around, but one way", "word_count": 5},
{"text": "to help me to think", "word_count": 5},
{"text": "about it is, and I", "word_count": 5},
{"text": "can see, I've got over", "word_count": 5},
{"text": "by my seat there a", "word_count": 5},
{"text": "bottle of water, right?", "word_count": 5},
{"text": "I'm looking at lots of", "word_count": 5},
{"text": "you, and lots of you", "word_count": 5},
{"text": "have bottles of water with", "word_count": 5},
{"text": "you, right?", "word_count": 2},
{"text": "Forget drugs, forget the drug", "word_count": 5},
{"text": "war.", "word_count": 1},
{"text": "Totally legally, all of those", "word_count": 5},
{"text": "bottles of water could be", "word_count": 5},
{"text": "bottles of vodka, right?", "word_count": 5},
{"text": "We could all be getting", "word_count": 5},
{"text": "drunk, I might, after this.", "word_count": 5},
{"text": "But we're not, right?", "word_count": 4},
{"text": "Now, because you've been able", "word_count": 5},
{"text": "to afford the approximately gazillion", "word_count": 5},
{"text": "pounds that it costs to", "word_count": 5},
{"text": "get into a TED Talk,", "word_count": 6},
{"text": "I'm guessing you guys could", "word_count": 5},
{"text": "afford to be drinking vodka", "word_count": 5},
{"text": "for the next six months.", "word_count": 6},
{"text": "You wouldn't end up homeless.", "word_count": 5},
{"text": "You're not going to do", "word_count": 5},
{"text": "that.", "word_count": 1},
{"text": "And the reason you're not", "word_count": 5},
{"text": "going to do that is", "word_count": 5},
{"text": "not because anyone's stopping you.", "word_count": 5},
{"text": "It's because you've got bonds", "word_count": 5},
{"text": "and connections that you want", "word_count": 5},
{"text": "to be present for.", "word_count": 5},
{"text": "You've got work you love,", "word_count": 5},
{"text": "you've got people you love,", "word_count": 5},
{"text": "you've got healthy relationships.", "word_count": 4},
{"text": "And a core part of", "word_count": 5},
{"text": "addiction, I came to think,", "word_count": 5},
{"text": "and I believe the evidence", "word_count": 5},
{"text": "suggests, is about not being", "word_count": 5},
{"text": "able to bear to be", "word_count": 5},
{"text": "present in your life.", "word_count": 5},
{"text": "Now, this has really significant", "word_count": 5},
{"text": "implications.", "word_count": 1},
{"text": "The most obvious implications are", "word_count": 5},
{"text": "for the war on drugs,", "word_count": 5},
{"text": "right?", "word_count": 1},
{"text": "In Arizona, I went out", "word_count": 5},
{"text": "with a group of women", "word_count": 5},
{"text": "who were made to wear", "word_count": 5},
{"text": "T-shirts saying, I was a", "word_count": 5},
{"text": "drug addict, and go out", "word_count": 5},
{"text": "on chain gangs and dig", "word_count": 5},
{"text": "graves while members of the", "word_count": 5},
{"text": "public could jeer at them.", "word_count": 6},
{"text": "And when those women get", "word_count": 5},
{"text": "out of prison, they're going", "word_count": 5},
{"text": "to have criminal records that", "word_count": 5},
{"text": "mean they'll never work in", "word_count": 5},
{"text": "the legal economy again.", "word_count": 5},
{"text": "Now, that's a very extreme", "word_count": 5},
{"text": "example, obviously, in the case", "word_count": 5},
{"text": "of the chain gang.", "word_count": 4},
{"text": "But actually, almost everywhere in", "word_count": 5},
{"text": "the world, we treat addicts", "word_count": 5},
{"text": "to some degree like that.", "word_count": 6},
{"text": "We punish them, we shame", "word_count": 5},
{"text": "them, we give them criminal", "word_count": 5},
{"text": "records, we put barriers between", "word_count": 5},
{"text": "them reconnecting.", "word_count": 2},
{"text": "And so, I think, there", "word_count": 5},
{"text": "was a doctor in Canada,", "word_count": 5},
{"text": "Dr. Gabor Marte, an amazing", "word_count": 5},
{"text": "man, who said to me,", "word_count": 5},
{"text": "if you wanted to design", "word_count": 5},
{"text": "a system that would make", "word_count": 5},
{"text": "addiction worse, you would design", "word_count": 5},
{"text": "that system.", "word_count": 2},
{"text": "Now, there's a place that", "word_count": 5},
{"text": "decided to do the exact", "word_count": 5},
{"text": "opposite, and I went there", "word_count": 5},
{"text": "to see how it worked.", "word_count": 6},
{"text": "In the year 2000, Portugal", "word_count": 5},
{"text": "had one of the worst", "word_count": 5},
{"text": "drug problems in Europe.", "word_count": 5},
{"text": "One percent of the population", "word_count": 5},
{"text": "was addicted to heroin, which", "word_count": 5},
{"text": "is kind of mind-blowing.", "word_count": 5},
{"text": "And every year, they tried", "word_count": 5},
{"text": "the American way more and", "word_count": 5},
{"text": "more.", "word_count": 1},
{"text": "They punished people and stigmatized", "word_count": 5},
{"text": "them and shamed them more.", "word_count": 6},
{"text": "And every year, the problem", "word_count": 5},
{"text": "got worse.", "word_count": 2},
{"text": "And one day, the prime", "word_count": 5},
{"text": "minister and the leader of", "word_count": 5},
{"text": "the opposition got together and", "word_count": 5},
{"text": "basically said, look, we can't", "word_count": 5},
{"text": "go on with a country", "word_count": 5},
{"text": "where we're having ever more", "word_count": 5},
{"text": "people becoming heroin addicts.", "word_count": 4},
{"text": "Let's set up a panel", "word_count": 5},
{"text": "of scientists and doctors to", "word_count": 5},
{"text": "figure out what would genuinely", "word_count": 5},
{"text": "solve the problem.", "word_count": 3},
{"text": "And they set up a", "word_count": 5},
{"text": "panel led by an amazing", "word_count": 5},
{"text": "man called Dr. Hua Gu", "word_count": 6},
{"text": "Lao to look at all", "word_count": 6},
{"text": "this new evidence.", "word_count": 3},
{"text": "And they came back, and", "word_count": 5},
{"text": "they said, decriminalize all drugs,", "word_count": 5},
{"text": "from cannabis to crack.", "word_count": 4},
{"text": "But, and this is the", "word_count": 5},
{"text": "crucial next step, take all", "word_count": 5},
{"text": "the money we used to", "word_count": 5},
{"text": "spend, on cutting addicts off,", "word_count": 5},
{"text": "on disconnecting them, and spend", "word_count": 5},
{"text": "it instead on reconnecting them", "word_count": 5},
{"text": "with the society.", "word_count": 3},
{"text": "And that's not really what", "word_count": 5},
{"text": "we think of.", "word_count": 3},
{"text": "What they did wasn't really", "word_count": 5},
{"text": "what we think of as", "word_count": 5},
{"text": "drug treatment in the United", "word_count": 5},
{"text": "States and Britain.", "word_count": 3},
{"text": "So they do do residential", "word_count": 5},
{"text": "rehab, they do do psychological", "word_count": 5},
{"text": "therapy that does have some", "word_count": 5},
{"text": "value.", "word_count": 1},
{"text": "But the biggest thing they", "word_count": 5},
{"text": "did was the complete opposite", "word_count": 5},
{"text": "of what we do.", "word_count": 5},
{"text": "A massive program of job", "word_count": 5},
{"text": "creation for addicts and microloans", "word_count": 5},
{"text": "for addicts to set up", "word_count": 5},
{"text": "small businesses.", "word_count": 2},
{"text": "So say you used to", "word_count": 5},
{"text": "be a mechanic.", "word_count": 3},
{"text": "When you're ready, they go", "word_count": 5},
{"text": "to a garage, and they'll", "word_count": 5},
{"text": "say, if you employ this", "word_count": 5},
{"text": "guys for a year, we'll", "word_count": 5},
{"text": "pay half his wages.", "word_count": 5},
{"text": "The goal was to make", "word_count": 5},
{"text": "sure that every addict in", "word_count": 5},
{"text": "Portugal had something to get", "word_count": 5},
{"text": "out of bed for in", "word_count": 6},
{"text": "the morning.", "word_count": 1},
{"text": "And when I went and", "word_count": 5},
{"text": "met the addicts in Portugal,", "word_count": 5},
{"text": "it's fascinating, what they said", "word_count": 5},
{"text": "is, as they rediscovered purpose,", "word_count": 5},
{"text": "they rediscovered bonds and relationships", "word_count": 4},
{"text": "with the wider society.", "word_count": 4},
{"text": "It'll be 15 years this", "word_count": 5},
{"text": "year since that experiment began,", "word_count": 5},
{"text": "and the results are in.", "word_count": 5},
{"text": "Injecting drug uses down in", "word_count": 5},
{"text": "Portugal, according to the British", "word_count": 5},
{"text": "Journal of Criminology, by 50", "word_count": 5},
{"text": "percent, five zero percent, overdose", "word_count": 5},
{"text": "is massively down, HIV is", "word_count": 5},
{"text": "massively down among addicts, addiction", "word_count": 5},
{"text": "in every study is significantly", "word_count": 5},
{"text": "down.", "word_count": 1},
{"text": "One of the ways you", "word_count": 5},
{"text": "know it's worked so well", "word_count": 5},
{"text": "is that almost nobody in", "word_count": 5},
{"text": "Portugal wants to go back", "word_count": 5},
{"text": "to the old system.", "word_count": 5},
{"text": "Now, that's the kind of", "word_count": 5},
{"text": "political implications.", "word_count": 2},
{"text": "I actually think there's a", "word_count": 5},
{"text": "layer of implications to all", "word_count": 5},
{"text": "this research below that.", "word_count": 4},
{"text": "You know, we live in", "word_count": 5},
{"text": "a culture where people feel", "word_count": 5},
{"text": "really increasingly vulnerable to all", "word_count": 5},
{"text": "sorts of addictions, whether it's", "word_count": 5},
{"text": "to their smartphones or to", "word_count": 5},
{"text": "shopping or to eating.", "word_count": 5},
{"text": "You know, before these talks", "word_count": 5},
{"text": "began, you guys know this,", "word_count": 5},
{"text": "that we were told we", "word_count": 5},
{"text": "weren't allowed to go out,", "word_count": 6},
{"text": "we weren't allowed to have", "word_count": 5},
{"text": "our smartphones on, and I", "word_count": 5},
{"text": "have to say, a lot", "word_count": 5},
{"text": "of you looked an awful", "word_count": 5},
{"text": "lot like addicts who were", "word_count": 5},
{"text": "being told their dealer was", "word_count": 5},
{"text": "going to be unavailable for", "word_count": 5},
{"text": "the next couple of hours.", "word_count": 6},
{"text": "And a lot of us", "word_count": 5},
{"text": "feel like that, and it", "word_count": 5},
{"text": "might sound weird to say,", "word_count": 5},
{"text": "oh, you know, I've been", "word_count": 5},
{"text": "talking about how disconnection is", "word_count": 5},
{"text": "a major driver of addiction,", "word_count": 5},
{"text": "but weird to say it's", "word_count": 5},
{"text": "growing because you think, well,", "word_count": 5},
{"text": "we're the most connected society", "word_count": 5},
{"text": "there's ever been, surely.", "word_count": 4},
{"text": "But I increasingly began to", "word_count": 5},
{"text": "think that the connections we", "word_count": 5},
{"text": "have, we think we have,", "word_count": 5},
{"text": "are like a kind of", "word_count": 5},
{"text": "parody of human connection.", "word_count": 4},
{"text": "If you have a crisis", "word_count": 5},
{"text": "in your life, you'll notice", "word_count": 5},
{"text": "something.", "word_count": 1},
{"text": "It won't be your Twitter", "word_count": 5},
{"text": "followers who come to sit", "word_count": 5},
{"text": "with you.", "word_count": 2},
{"text": "It won't be your Facebook", "word_count": 5},
{"text": "friends who help you turn", "word_count": 5},
{"text": "it around.", "word_count": 2},
{"text": "It'll be your flesh-and-blood", "word_count": 3},
{"text": "friends who you have deep", "word_count": 5},
{"text": "and nuanced and textured face-to-face", "word_count": 5},
{"text": "relationships with.", "word_count": 1},
{"text": "And I think there's a", "word_count": 5},
{"text": "study I learned about from", "word_count": 5},
{"text": "Bill McKibben, the environmental writer,", "word_count": 5},
{"text": "I think tells us a", "word_count": 5},
{"text": "lot about this.", "word_count": 3},
{"text": "It looked at the number", "word_count": 5},
{"text": "of close friends the average", "word_count": 5},
{"text": "American believes they can call", "word_count": 5},
{"text": "on in a crisis.", "word_count": 5},
{"text": "That number has been declining", "word_count": 5},
{"text": "steadily since the 1950s.", "word_count": 5},
{"text": "The amount of floor space", "word_count": 5},
{"text": "an individual has in their", "word_count": 5},
{"text": "home has been steadily increasing.", "word_count": 5},
{"text": "And I think that's like", "word_count": 5},
{"text": "a metaphor for the choice", "word_count": 5},
{"text": "we've made as a culture,", "word_count": 6},
{"text": "right?", "word_count": 1},
{"text": "We've traded floor space for", "word_count": 5},
{"text": "friends, we've traded stuff for", "word_count": 5},
{"text": "connections, and the result is", "word_count": 5},
{"text": "that we are one of", "word_count": 5},
{"text": "the loneliest societies there has", "word_count": 5},
{"text": "ever been.", "word_count": 2},
{"text": "And yet Bruce Alexander, the", "word_count": 5},
{"text": "guy who did the Rat", "word_count": 5},
{"text": "Park experiment, says we talk", "word_count": 5},
{"text": "all the time in Addiction", "word_count": 5},
{"text": "about individual recovery.", "word_count": 2},
{"text": "And it's right to talk", "word_count": 5},
{"text": "about that.", "word_count": 2},
{"text": "But we need to talk", "word_count": 5},
{"text": "much more about social recovery.", "word_count": 5},
{"text": "Something's gone wrong with us,", "word_count": 5},
{"text": "not just as individuals, but", "word_count": 5},
{"text": "as a group.", "word_count": 3},
{"text": "And we've created a society", "word_count": 5},
{"text": "where, for a lot of", "word_count": 5},
{"text": "us, life looks a whole", "word_count": 5},
{"text": "lot more like that isolated", "word_count": 5},
{"text": "cage and a whole lot", "word_count": 5},
{"text": "less like Rat Park.", "word_count": 4},
{"text": "But if I'm honest, this", "word_count": 5},
{"text": "isn't why I went into", "word_count": 5},
{"text": "it, right?", "word_count": 2},
{"text": "I didn't go in to", "word_count": 5},
{"text": "discover the political stuff, the", "word_count": 5},
{"text": "social stuff.", "word_count": 2},
{"text": "I wanted to know how", "word_count": 5},
{"text": "to help the people I", "word_count": 5},
{"text": "love.", "word_count": 1},
{"text": "And when I came back", "word_count": 5},
{"text": "from this long journey and", "word_count": 5},
{"text": "I'd learned all this, I", "word_count": 5},
{"text": "looked at the addicts in", "word_count": 5},
{"text": "my life, and if you're", "word_count": 5},
{"text": "really candid, it's hard loving", "word_count": 5},
{"text": "an addict, and there's going", "word_count": 5},
{"text": "to be lots of people", "word_count": 5},
{"text": "who know in this room,", "word_count": 5},
{"text": "you're angry a lot of", "word_count": 5},
{"text": "the time.", "word_count": 2},
{"text": "And I think one of", "word_count": 5},
{"text": "the reasons why this debate", "word_count": 5},
{"text": "is so charged is because", "word_count": 5},
